format
ics
vcf
eml
mbox
pem
crt
key
wasm
glb
gltf
obj
stl
step
iges
dxf
dwg
eps
ai
psd
sketch
fig
xd
webp
avif
heic
tiff
bmp
ico
gif
apng
mp3
wav
ogg
flac
aac
midi
mp4
webm
avi
mkv
mov
m3u8
srt
vtt
ass
lrc
zip
tar
gz
bz2
xz
7z
rar
iso
dmg
deb
rpm
snap
flatpak
appimage
jar
war
ear
apk
aab
ipa
exe
msi
dll
so
dylib
whl
egg
gem
nupkg
crate
epub
mobi
cbz
cbr
ttf
otf
woff
woff2
sqlite
dcm
shp
ipynb
har
pcap
plist
toml
tga
dds
odp
torrent
hdf5
fits
nc
las
fbx
dae
exr
p12
p7s
pdb
cue
djvu
xps
ply
3ds
3mf
eot
ktx
pvr
msg
kdbx
warc
zst
br
lz4
ifc
nii
feather
msgpack
cbor
wat
gguf
onnx
sf2
vpk
pcd
dot
ged
bib
